	Filename / Номер оригинала в архиве	Source Text Title (or first line) / Название или первая строка	Genre / Жанр	Source Text Size (in tokens) / Объем в словоупотреблениях	Number of Translations / Кол-во переводов
	EN_1_134	How Samsung Changed the Game on Apple	Essay	370	20
	RU_1_135	Воздействие  нефтяного загрязнения на мезофауну почв В таежных  лесах западной  сибири	Academic	510	4
	EN_1_136	Yes, even you can innovate to grow - learn from Skanska	Essay	472	1
	EN_1_137	The History of Engines - How Engines Work	Informational	7980	1
	EN_1_138	INTRODUCTION Journalism is both a profession and a craft, since journalists draw on specialized skills	Educational	10437	1
	EN_1_139	Fred E. Foldvary What Is Profit?	Essay	9138	1
	EN_1_140	Rogers Stirk Harbour + Partners (RSHP) is an international architectural practice based in London	Academic	1775	1
	EN_1_141	Bordeaux Law Courts Following a competition stage, RRP was commissioned by the French Ministry of Justice	Tech	7511	1
	EN_1_142	1. What You Should Know about Globalization and the World Trade Organization	Educational	10029	1
	EN_1_143	It is a commonplace of English politicians and journalists that in recent years 'class distinctions' have been 'disappearing'	Essay	302	7
	EN_1_144	China to Cut Back into "Super Ministries"	Informational	186	7
	EN_1_145	Atlantis. Myth or History?	Informational	300	18
	EN_1_146	Are we Alone In The Universe?	Educational	282	33
	EN_1_147	Russia needs a society brimming with love for the country, a civil society that	Essay	8735	1
	EN_1_148	Whether they realize it or not, every member of our modern society	Educational	230	7
	RU_1_149	Ильменский государственный заповедник	Informational	225	12
	EN_1_150	Roger Penrose's latest book is an exposition of his latest cosmological speculations	Review	363	37
	EN_1_151	Aircraft Boeing 747-400	Informational	419	6
	RU_1_152	Введение Большинство функционирующих в современном мире организаций неизбежно сталкиваются с разнообразными факторами	Academic	105	2
	RU_1_153	Также Институтом выпускается ряд бюллетеней	Academic	116	1
	RU_1_154	1.2. Описание бизнес-процесса «Сбор, обработка и хранение данных»	Academic	154	1
	EN_1_155	Extinction of Languages Puts Plants and Animals at Risk	Informational	260	30
	RU_1_156	Опираясь на описание бизнес-процесса «Сбор, обработка и хранение данных»,	Academic	96	1
	RU_1_157	Процесс сбора, обработки и хранения данных осуществляется каждым из экспертов	Academic	270	1
	RU_1_158	Безусловно, нельзя утверждать, что проблема организации бизнес-процессов является единственной причиной	Academic	119	1
	RU_1_159	Некоммерческая организация «Центр развития» была создана в 1999 г.	Academic	80	1
	RU_1_160 	Неблагоприятные дни	Educational	560 (part)	5
	EN_1_161 	OC GUIDELINES This OC Guidelines gives guidelines to organizers about	Tech	771(part)	6
	EN_1_162	Federal Aviation Administration Master Minimum Equipment List Aerospatiale Helicopter	As 355 Series	Tech	2367	1
	RU _1_163 	Уважаемый Ян! Западно-Сибирский банк ОАО "Сбербанк России" информирует Вас	Letters	272	30
