text,genre,size,lang
EN_1_119,speech,491,en
EN_1_14,speech,602,en
EN_1_15,speech,474,en
EN_1_188,speech,489,en
EN_1_189,speech,507,en
EN_1_192,speech,308,en
EN_1_231,speech,651,en
EN_1_232,speech,356,en
EN_1_234,speech,391,en
EN_1_238,speech,376,en
EN_1_239,speech,401,en
EN_1_268,speech,501,en
RU_1_117,speech,447,ru
RU_1_118,speech,443,ru
RU_1_173,speech,620,ru
RU_1_183,speech,347,ru
RU_1_229,speech,500,ru
RU_1_230,speech,420,ru
RU_1_267,speech,348,ru
RU_1_269,speech,506,ru
RU_2_1,speech,289,ru
RU_2_2,speech,351,ru
RU_2_3,speech,357,ru
RU_2_4,speech,421,ru
RU_2_5,speech,334,ru
RU_4_30,speech,323,ru
RU_6_19,speech,448,ru
EN_1_105,tech,91,en
EN_1_107,tech,116,en
EN_1_108,tech,103,en
EN_1_141,tech,7511,en
EN_1_16,tech,328,en
EN_1_161 ,tech,771,en
EN_1_162,tech,2367,en
EN_1_164,tech,3173,en
EN_1_165,tech,1464,en
EN_1_166,tech,576,en
EN_1_167,tech,5460,en
EN_1_168,tech,4338,en
EN_1_199,tech,367,en
EN_1_38,tech,1292,en
EN_1_87,tech,9727,en
EN_6_23,tech,6789,en
RU_1_62,tech,350,ru
RU_1_63,tech,454,ru
RU_6_16,tech,186,ru
RU_6_17,tech,198,ru
RU_6_18,tech,346,ru
